# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_SPANISH	CONCEPT_FRENCH	CONCEPT_PORTUGUESE	SEMANTIC_FIELD	VALUE_IN_SOURCE	VALUE	FORM1	FORM2	FORM	SEGMENTS	SOURCE	COGID	PROBLEMATIC
4818	Baniwa	grab, close the hand around sth, telic and punctual			agarrar, arrancar		<-híidzoa> (agarrar) {Ramirez 2001}	-híidzoa			-híidzoa	� h i � i d � o a	Ramirez 2001	2020	
#
1869	Achagua	grab, get, make motion to take sth	agarrar, alcanzar	aller chercher, atrapper	agarrar, alcançar	verb.act	$dukueri$ <dúkueri> (alcanzar) {Melendez 2011}	dúkueri	dukueri		dukueri	d u k u e r i	Melendez 2011	2028	
1870	Piapoco	grab, get, make motion to take sth	agarrar, alcanzar	aller chercher, atrapper	agarrar, alcançar	verb.act	$nudékaβa$ (alcanzar) {Klumpp 1995}		nudékaβa		nudékaβa	n u d é k a β a	Klumpp 1995	2030	
1871	Resigaro	grab, get, make motion to take sth	agarrar, alcanzar	aller chercher, atrapper	agarrar, alcançar	verb.act	$guu-ʒú$ (alcançar) {Allin 1979}		guu-ʒú		guu-ʒú	g u u � ʒ u �	Allin 1979	2031	
1872	Yukuna	grab, get, make motion to take sth	agarrar, alcanzar	aller chercher, atrapper	agarrar, alcançar	verb.act	$eʔelotákaho$ (alcançar) {Schauer 2005}		eʔelotákaho		eʔelotákaho	e ʔ e l o t á k a h o	Schauer 2005	2032	
4819	Baniwa	grab, get, make motion to take sth			agarrar, alcançar		<-híidzoa> (agarrar) {Ramirez 2001}	-híidzoa			-híidzoa	� h i � i d � o a	Ramirez 2001	2029	
#
1873	Baré	grandchild	nieto, nieta	petit-enfant	neto, neta	kinship	$nuakãnare$ (neto) {Oliveira 93}		nuakãnare		nuakãnare	n u a k ã n a r e	Oliveira 93	2034	
1874	Resigaro	grandchild	nieto, nieta	petit-enfant	neto, neta	kinship	$-iʔžaátováʔ$ (neta) {Allin 1979}, $-iʔžaátováʔ$ (neto) {Allin 1979}		-iʔžaátováʔ		-iʔžaátováʔ	� i ʔ � � a a � t o v a � ʔ	Allin 1979	2035	
1875	Resigaro	grandchild	nieto, nieta	petit-enfant	neto, neta	kinship	$-iʔžaátováʔ$ (neta) {Allin 1979}, $-iʔžaátováʔ$ (neto) {Allin 1979}		-iʔžaátováʔ		-iʔžaátováʔ	� i ʔ � � a a � t o v a � ʔ	Allin 1979	2035	
1876	Tariana	grandchild	nieto, nieta	petit-enfant	neto, neta	kinship	$di-dáki-ɾu$ (neta) {Aikhenvald 2001}, $di-dáki-ɾi$ (neto) {Aikhenvald 2001}		di-dáki-ɾu		di-dáki-ɾu	d i � d a � k i � ɾ u	Aikhenvald 2001	2033	
1877	Tariana	grandchild	nieto, nieta	petit-enfant	neto, neta	kinship	$di-dáki-ɾu$ (neta) {Aikhenvald 2001}, $di-dáki-ɾi$ (neto) {Aikhenvald 2001}		di-dáki-ɾi		di-dáki-ɾi	d i � d a � k i � ɾ i	Aikhenvald 2001	2033	
1878	Warekena	grandchild	nieto, nieta	petit-enfant	neto, neta	kinship	$nuyãtani$ (neto, neta) {Aikhenvald 2012}		nuyãtani		nuyãtani	n u y ã tani	Aikhenvald 2012	2034	
1879	Yukuna	grandchild	nieto, nieta	petit-enfant	neto, neta	kinship	$lakénahi$ (netos, netas) {Schauer 2005}		lakénahi		lakénahi	l a k é n a h i	Schauer 2005	2038	
4820	Baniwa	grandchild			neto, neta		<-dákeeri> (neto) {Ramirez 2001}, <-dakéedoa> (neta) {Ramirez 2001}	-dákeeri			-dákeeri	� d a � k e e r i	Ramirez 2001	2033	
4821	Baniwa	grandchild			neto, neta		<-dákeeri> (neto) {Ramirez 2001}, <-dakéedoa> (neta) {Ramirez 2001}	-dakéedoa			-dakéedoa	� d a k e � e d o a	Ramirez 2001	2039	
#
1880	Baré	granddaughter	nieta	petite-fille	neta	kinship	$akana$ (neta) {Oliveira 93}		akana		akana	a k a n a	Oliveira 93	2041	
1881	Piapoco	granddaughter	nieta	petite-fille	neta	kinship	$nutakuéɾi$ (nieta) {Klumpp 1995}, $nutakuéɾi$ (nieto) {Klumpp 1995}, $nutakuénái$ (nietos) {Klumpp 1995}		nutakuéɾi		nutakuéɾi	n u t a k u é ɾ i	Klumpp 1995	2040	
1882	Piapoco	granddaughter	nieta	petite-fille	neta	kinship	$nutakuéɾi$ (nieta) {Klumpp 1995}, $nutakuéɾi$ (nieto) {Klumpp 1995}, $nutakuénái$ (nietos) {Klumpp 1995}		nutakuéɾi		nutakuéɾi	n u t a k u é ɾ i	Klumpp 1995	2040	
1883	Piapoco	granddaughter	nieta	petite-fille	neta	kinship	$nutakuéɾi$ (nieta) {Klumpp 1995}, $nutakuéɾi$ (nieto) {Klumpp 1995}, $nutakuénái$ (nietos) {Klumpp 1995}		nutakuénái		nutakuénái	n u t a k u é n á i	Klumpp 1995	2040	
1884	Resigaro	granddaughter	nieta	petite-fille	neta	kinship	$-iʔžaátováʔ$ (neta) {Allin 1979}		-iʔžaátováʔ		-iʔžaátováʔ	� i ʔ � � a a � t o v a � ʔ	Allin 1979	2043	
1885	Tariana	granddaughter	nieta	petite-fille	neta	kinship	$di-dáki-ɾu$ (neta) {Aikhenvald 2001}		di-dáki-ɾu		di-dáki-ɾu	d i � d a � k i � ɾ u	Aikhenvald 2001	2040	
1886	Yukuna	granddaughter	nieta	petite-fille	neta	kinship	$lakélohi$ (neta) {Schauer 2005}		lakélohi		lakélohi	l a k é l o h i	Schauer 2005	2045	
4822	Baniwa	granddaughter			neta		<-dakéedoa> (neta) {Ramirez 2001}	-dakéedoa			-dakéedoa	� d a k e � e d o a	Ramirez 2001	2040	
#
1887	Piapoco	grandfather	abuelo	grand-père	avô	kinship	$nùaβiɾi$ (avô) {Klump95}		nùaβiɾi		nùaβiɾi	n ù a β i ɾ i	Klump95	2047	
1888	Resigaro	grandfather	abuelo	grand-père	avô	kinship	$-oʔhoogí$ (avô) {Allin 1979}, $tyaʔdíío$ (avó) {Allin 1979}		-oʔhoogí		-oʔhoogí	� o ʔ h o o g i �	Allin 1979	2048	
1889	Resigaro	grandfather	abuelo	grand-père	avô	kinship	$-oʔhoogí$ (avô) {Allin 1979}, $tyaʔdíío$ (avó) {Allin 1979}		tyaʔdíío		tyaʔdíío	t y a ʔ d íí o	Allin 1979	2052	
1890	Tariana	grandfather	abuelo	grand-père	avô	kinship	$di-whé-ɾi$ (avô) {Aikhenvald 2001}		di-whé-ɾi		di-whé-ɾi	d i � w h e � � ɾ i	Aikhenvald 2001	2046	
1891	Warekena	grandfather	abuelo	grand-père	avô	kinship	$nádu$ (avó) {Aikhenvald 2012}		nádu		nádu	n á d u	Aikhenvald 2012	2050	
1892	Yukuna	grandfather	abuelo	grand-père	avô	kinship	$aʔahútahi$ (avô) {Schauer 2005}		aʔahútahi		aʔahútahi	a ʔ a h ú t a h i	Schauer 2005	2051	
4823	Baniwa	grandfather			avô		<-wheri> (avô) {Ramirez 2001}	-wheri			-wheri	� w h e r i	Ramirez 2001	2046	
#
1893	Achagua	grandmother	abuela	grand-mère	avó	kinship	$ruidaʃi$ <rúidaʃi> (abuela) {Melendez 2011}	rúidaʃi	ruidaʃi		ruidaʃi	r u i d a ʃ i	Melendez 2011	2053	
1894	Piapoco	grandmother	abuela	grand-mère	avó	kinship	$nu-íɾu$ (avó) {Klumpp 1995}		nu-íɾu		nu-íɾu	n u � i � ɾ u	Klumpp 1995	2055	
1895	Resigaro	grandmother	abuela	grand-mère	avó	kinship	$-hiídó$ (avó) {Allin 1979}, $taáʒé$ (avó) {Allin 1979}		-hiídó		-hiídó	� h i i � d o �	Allin 1979	2056	
1896	Resigaro	grandmother	abuela	grand-mère	avó	kinship	$-hiídó$ (avó) {Allin 1979}, $taáʒé$ (avó) {Allin 1979}		taáʒé		taáʒé	t a á ʒ é	Allin 1979	2059	
1897	Tariana	grandmother	abuela	grand-mère	avó	kinship	$hido$ (avó) {Aikhenvald 2001}		hido		hido	h i d o	Aikhenvald 2001	2056	
1898	Yukuna	grandmother	abuela	grand-mère	avó	kinship	$iɾútahi$ (avó) {Schauer 2005}		iɾútahi		iɾútahi	i ɾ ú t a h i	Schauer 2005	2053	
4824	Baniwa	grandmother			avó		<-híromi> (avó) {Ramirez 2001}	-híromi			-híromi	� h i � r o m i	Ramirez 2001	2054	
#
1899	Baré	grandson	nieto	petit-garçon	neto	kinship	$nuakãnare$ (neto) {Oliveira 93}		nuakãnare		nuakãnare	n u a k ã n a r e	Oliveira 93	2060	
1900	Piapoco	grandson	nieto	petit-garçon	neto	kinship	$nutakuéɾi$ (nieto) {Klumpp 1995}		nutakuéɾi		nutakuéɾi	n u t a k u é ɾ i	Klumpp 1995	2060	
1901	Tariana	grandson	nieto	petit-garçon	neto	kinship	$di-dáki-ɾi$ (neto) {Aikhenvald 2001}		di-dáki-ɾi		di-dáki-ɾi	d i � d a � k i � ɾ i	Aikhenvald 2001	2060	
1902	Yukuna	grandson	nieto	petit-garçon	neto	kinship	$lakehi$ (neto) {Schauer 2005}		lakehi		lakehi	l a k e h i	Schauer 2005	2064	
4825	Baniwa	grandson			neto		<-dákeeri> (neto) {Ramirez 2001}	-dákeeri			-dákeeri	� d a � k e e r i	Ramirez 2001	2060	
#
1903	Achagua	grass	hierba	herbe	grama	plant	$hi:ja$ <híija> (hierba) {Melendez 2011}	híija	hi:ja		hi:ja	h i: j a	Melendez 2011	2065	
1904	Baré	grass	hierba	herbe	grama	plant	$hibeni$ (grama) {Oliveira 93}		hibeni		hibeni	h i b e n i	Oliveira 93	2067	
1905	Kabiyari	grass	hierba	herbe	grama	plant	<ka:na:phiri> $ka:na:phiri$ (grama) {Epps}	ka:na:phiri	ka:na:phiri		ka:na:phiri	k aː n aː pʰ i r i	Epps	2066	
1906	Piapoco	grass	hierba	herbe	grama	plant	<màsikài> $màsikài$ (grama) {Epps}, <kanapíri> $kanapíri$ (grama) {Epps}	màsikài	màsikài		màsikài	m às i k à i	Epps	2069	
1907	Piapoco	grass	hierba	herbe	grama	plant	<màsikài> $màsikài$ (grama) {Epps}, <kanapíri> $kanapíri$ (grama) {Epps}	kanapíri	kanapíri		kanapíri	k a n a p í r i	Epps	2066	
1908	Resigaro	grass	hierba	herbe	grama	plant	$himiítsí$ (grama) {Epps}		himiítsí		himiítsí	h i m i í ts í	Epps	2070	
1909	Tariana	grass	hierba	herbe	grama	plant	$kanápiɾi$ (mato) {Aikhenvald 2001}, $kepipipe$ $kepipipe$ (capim) {Epps}		kanápiɾi		kanápiɾi	k a n á p i ɾ i	Aikhenvald 2001	2066	
1910	Tariana	grass	hierba	herbe	grama	plant	$kanápiɾi$ (mato) {Aikhenvald 2001}, $kepipipe$ $kepipipe$ (capim) {Epps}		kepipipe		kepipipe	k e p i p i p e	Epps	2066	
1911	Warekena	grass	hierba	herbe	grama	plant	$puapua$ (mato) {Aikhenvald 2012}, $tawape$ (mato) {Aikhenvald 2012}		puapua		puapua	p u a p u a	Aikhenvald 2012	2072	
1912	Warekena	grass	hierba	herbe	grama	plant	$puapua$ (mato) {Aikhenvald 2012}, $tawape$ (mato) {Aikhenvald 2012}		tawape		tawape	t a w a p e	Aikhenvald 2012	2077	
1913	Yukuna	grass	hierba	herbe	grama	plant	$himitʃi$ (grama) {Epps}		himitʃi		himitʃi	h i m i tʃ i	Epps	2070	
4826	Baniwa	grass			grama		<kanapiri> (capim) {Ramirez 2001}, <ittadoi> (capim) {Ramirez 2001}, <matshídali> (capim) {Ramirez 2001}, <malíitsi> (capim) {Ramirez 2001}, <tsakarákawa> (capim) {Ramirez 2001}	kanapiri			kanapiri	k a n a p i r i	Ramirez 2001	2066	
4827	Baniwa	grass			grama		<kanapiri> (capim) {Ramirez 2001}, <ittadoi> (capim) {Ramirez 2001}, <matshídali> (capim) {Ramirez 2001}, <malíitsi> (capim) {Ramirez 2001}, <tsakarákawa> (capim) {Ramirez 2001}	ittadoi			ittadoi	i tt a d o i	Ramirez 2001	2074	
4828	Baniwa	grass			grama		<kanapiri> (capim) {Ramirez 2001}, <ittadoi> (capim) {Ramirez 2001}, <matshídali> (capim) {Ramirez 2001}, <malíitsi> (capim) {Ramirez 2001}, <tsakarákawa> (capim) {Ramirez 2001}	matshídali			matshídali	m a tsh í d a l i	Ramirez 2001	2078	
4829	Baniwa	grass			grama		<kanapiri> (capim) {Ramirez 2001}, <ittadoi> (capim) {Ramirez 2001}, <matshídali> (capim) {Ramirez 2001}, <malíitsi> (capim) {Ramirez 2001}, <tsakarákawa> (capim) {Ramirez 2001}	malíitsi			malíitsi	m a l í i ts i	Ramirez 2001	2070	
4830	Baniwa	grass			grama		<kanapiri> (capim) {Ramirez 2001}, <ittadoi> (capim) {Ramirez 2001}, <matshídali> (capim) {Ramirez 2001}, <malíitsi> (capim) {Ramirez 2001}, <tsakarákawa> (capim) {Ramirez 2001}	tsakarákawa			tsakarákawa	ts a k a r á k a w a	Ramirez 2001	2080	
#
1914	Piapoco	grasshopper	saltamontes	sauterelle	gafanhoto	insect	$βirì:tʃu$ (saltamontes) {Klumpp 1995}		βirì:tʃu		βirì:tʃu	β i r ì: tʃ u	Klumpp 1995	2082	
1915	Tariana	grasshopper	saltamontes	sauterelle	gafanhoto	insect	$hiɾíyu$ (gafanhoto) {Aikhenvald 2001}		hiɾíyu		hiɾíyu	h i ɾ í y u	Aikhenvald 2001	2083	
1916	Yukuna	grasshopper	saltamontes	sauterelle	gafanhoto	insect	$mahitʃíɾaʔapʰa$ (gafanhoto) {Schauer 2005}		mahitʃíɾaʔapʰa		mahitʃíɾaʔapʰa	m a h i tʃ í ɾ a ʔ a pʰ a	Schauer 2005	2084	
4831	Baniwa	grasshopper			gafanhoto		<dzíiro> (gafanhoto) {Ramirez 2001}, <manéeñai> (gafanhoto) {Ramirez 2001}, <tsákara> (gafanhoto) {Ramirez 2001}	dzíiro			dzíiro	dz í i r o	Ramirez 2001	2081	
4832	Baniwa	grasshopper			gafanhoto		<dzíiro> (gafanhoto) {Ramirez 2001}, <manéeñai> (gafanhoto) {Ramirez 2001}, <tsákara> (gafanhoto) {Ramirez 2001}	manéeñai			manéeñai	m a n é e ñ a i	Ramirez 2001	2085	
4833	Baniwa	grasshopper			gafanhoto		<dzíiro> (gafanhoto) {Ramirez 2001}, <manéeñai> (gafanhoto) {Ramirez 2001}, <tsákara> (gafanhoto) {Ramirez 2001}	tsákara			tsákara	ts á k a r a	Ramirez 2001	2081	
#
1917	Achagua	green	verde	vert	verde	verb.stat	$ule:ji$ <uléejii> (verde) {Melendez 2011}	uléejii	ule:ji		ule:ji	u l e: j i	Melendez 2011	2086	
1918	Baré	green	verde	vert	verde	verb.stat	$kurini$ (verde) {Oliveira 93}		kurini		kurini	k u r i n i	Oliveira 93	2088	
1919	Kabiyari	green	verde	vert	verde	verb.stat	<puré> $puré$ (verde) {Epps}	puré	puré		puré	p u r é	Epps	2088	
1920	Piapoco	green	verde	vert	verde	verb.stat	<ipùléeri> $ipùlé:ɾi$ (verde) {Epps}	ipùléeri	ipùlé:ɾi		ipùlé:ɾi	i p ù l é: ɾ i	Epps	2087	
1921	Resigaro	green	verde	vert	verde	verb.stat	$ipogíʔ$ (verde) {Epps}		ipogíʔ		ipogíʔ	i p o g í ʔ	Epps	2091	
1922	Tariana	green	verde	vert	verde	verb.stat	$hipolíte$ (verde) {Aikhenvald 2001}		hipolíte		hipolíte	h i p o l í t e	Aikhenvald 2001	2087	
1923	Warekena	green	verde	vert	verde	verb.stat	$púɾeɾi$ (verde) {Aikhenvald 2012}		púɾeɾi		púɾeɾi	p ú ɾ e ɾ i	Aikhenvald 2012	2088	
1924	Yukuna	green	verde	vert	verde	verb.stat	$ipuɾeni$ (verde) {Epps}		ipuɾeni		ipuɾeni	i p u ɾ e n i	Epps	2088	
4834	Baniwa	green			verde		<hípole> (verde) {Ramirez 2001}	hípole			hípole	h í p o l e	Ramirez 2001	2087	
#
1925	Resigaro	grill, barbeque	parilla, barbacoa	gril	grelha, churrasco	material culture	$teíʔiku$ (grelha) {Allin 1979}		teíʔiku		teíʔiku	t e í ʔ i k u	Allin 1979	2093	
4835	Baniwa	grill, barbeque			grelha, churrasco		<yoramaaka> (jirau) {Chacon 2016}, <mitsiede> (jirau) {Chacon 2016}	yoramaaka			yoramaaka	y o r a m aa k a	Chacon 2016	2092	
4836	Baniwa	grill, barbeque			grelha, churrasco		<yoramaaka> (jirau) {Chacon 2016}, <mitsiede> (jirau) {Chacon 2016}	mitsiede			mitsiede	m i ts i e d e	Chacon 2016	2094	
#
1926	Achagua	grind	moler	broyer	moer, triturar	verb.trans	$huleri$ <húleri> (moler) {Melendez 2011}	húleri	huleri		huleri	h u l e r i	Melendez 2011	2095	
1927	Piapoco	grind	moler	broyer	moer, triturar	verb.trans	$numuɺúaka$ (moler) {Klumpp 1995}		numuɺúaka		numuɺúaka	n u m u ɺ ú a k a	Klumpp 1995	2097	
1928	Resigaro	grind	moler	broyer	moer, triturar	verb.trans	$thoʔ-khú$ (moer) {Allin 1979}		thoʔ-khú		thoʔ-khú	t h o ʔ � k h u �	Allin 1979	2098	
1929	Tariana	grind	moler	broyer	moer, triturar	verb.trans	$di-wésya$ (moer) {Aikhenvald 2001}		di-wésya		di-wésya	di- w és y a	Aikhenvald 2001	2099	
1930	Yukuna	grind	moler	broyer	moer, triturar	verb.trans	$tohɾoʔokahe$ (moer) {Schauer 2005}		tohɾoʔokahe		tohɾoʔokahe	t o h ɾ o ʔ o k a h e	Schauer 2005	2100	
4837	Baniwa	grind			moer, triturar		<-bittiméta> (moer) {Ramirez 2001}	-bittiméta			-bittiméta	� b i t t i m e � t a	Ramirez 2001	2096	
#
1931	Achagua	grow, of plant, NOT germinate, VI	crecer	pousser	crescer	verb.int	$dawineriu$ <dáwineriu> (crecer) {Melendez 2011}	dáwineriu	dawineriu		dawineriu	d a w i n e r i u	Melendez 2011	2101	
1932	Kabiyari	grow, of plant, NOT germinate, VI	crecer	pousser	crescer	verb.int	<tawána> $tawána$ (crescer) {Epps}	tawána	tawána		tawána	t a w á n a	Epps	2101	
1933	Piapoco	grow, of plant, NOT germinate, VI	crecer	pousser	crescer	verb.int	<cáaléeri yàacawa> $káaléeri jàakawa$ (crescer) {Epps}, <dàwinàacawa> $dàwinàakawa$ (crescer) {Epps}	cáaléeri yàacawa	káaléeri jàakawa		káaléeri jàakawa	k a � a l e � e r i � j a � a k a w a	Epps	2104	
1934	Piapoco	grow, of plant, NOT germinate, VI	crecer	pousser	crescer	verb.int	<cáaléeri yàacawa> $káaléeri jàakawa$ (crescer) {Epps}, <dàwinàacawa> $dàwinàakawa$ (crescer) {Epps}	dàwinàacawa	dàwinàakawa		dàwinàakawa	d à w i n à a k a w a	Epps	2101	
1935	Tariana	grow, of plant, NOT germinate, VI	crecer	pousser	crescer	verb.int	$kepipipe$ (crescer) {Epps}		kepipipe		kepipipe	k e p i p i p e	Epps	2105	
1936	Warekena	grow, of plant, NOT germinate, VI	crecer	pousser	crescer	verb.int	$tawina$ (crescer) {Aikhenvald 2012}		tawina		tawina	t a w i n a	Aikhenvald 2012	2101	
1937	Yukuna	grow, of plant, NOT germinate, VI	crecer	pousser	crescer	verb.int	$tawáʔakaho$ (crescer) {Epps}		tawáʔakaho		tawáʔakaho	t a w á ʔ a k a h o	Epps	2101	
4838	Baniwa	grow, of plant, NOT germinate, VI			crescer		<-tawíiña(wa)> (crescer) {Ramirez 2001}	-tawíiña(wa)			-tawíiña(wa)	� t a w i � i n � a <?> w a <?>	Ramirez 2001	2101	
#
1938	Achagua	grub, lives in palm wood	suri	larve, ver	larva	insect	$e:niʃi$ <éeniʃi> (gusano) {Melendez 2011}	éeniʃi	e:niʃi		e:niʃi	e: n i ʃ i	Melendez 2011	2106	
1939	Piapoco	grub, lives in palm wood	suri	larve, ver	larva	insect	$káβi$ (gusano) {Klumpp 1995}		káβi		káβi	k á β i	Klumpp 1995	2108	
1940	Resigaro	grub, lives in palm wood	suri	larve, ver	larva	insect	$eniítsí$ (larva) {Epps}, $naʔí$ (larva) {Epps}, $otsóomú$ (edible larva) {Epps}		eniítsí		eniítsí	e nií ts í	Epps	2109	
1941	Resigaro	grub, lives in palm wood	suri	larve, ver	larva	insect	$eniítsí$ (larva) {Epps}, $naʔí$ (larva) {Epps}, $otsóomú$ (edible larva) {Epps}		naʔí		naʔí	n a ʔ í	Epps	2106	
1942	Resigaro	grub, lives in palm wood	suri	larve, ver	larva	insect	$eniítsí$ (larva) {Epps}, $naʔí$ (larva) {Epps}, $otsóomú$ (edible larva) {Epps}		otsóomú		otsóomú	o ts ó o m ú	Epps	2114	
1943	Tariana	grub, lives in palm wood	suri	larve, ver	larva	insect	$wépaɾi$ (larva) {Aikhenvald 2001}, $yúɾu$ (larva) {Aikhenvald 2001}		wépaɾi		wépaɾi	w é p a ɾ i	Aikhenvald 2001	2110	
1944	Tariana	grub, lives in palm wood	suri	larve, ver	larva	insect	$wépaɾi$ (larva) {Aikhenvald 2001}, $yúɾu$ (larva) {Aikhenvald 2001}		yúɾu		yúɾu	y ú ɾ u	Aikhenvald 2001	2113	
1945	Yukuna	grub, lives in palm wood	suri	larve, ver	larva	insect	$wawaɾu$ (mojojoy) {Schauer 2005}		wawaɾu		wawaɾu	w a w a ɾ u	Schauer 2005	2110	
4839	Baniwa	grub, lives in palm wood			larva		<moódi> (moxiua (certa larva de palmeira)) {Ramirez 2001}	moódi			moódi	m o ó d i	Ramirez 2001	2107	
#
1946	Warekena	guava	guayaba	goyave	goiaba	other	$gurawa$ (goiaba) {Aikhenvald 2012}		gurawa		gurawa	g u r a w a	Aikhenvald 2012	2116	
1947	Yukuna	guava	guayaba	goyave	goiaba	other	$ɲamaɾá$ (goiaba) {Schauer 2005}		ɲamaɾá		ɲamaɾá	ɲ a m a ɾ á	Schauer 2005	2117	
4840	Baniwa	guava			goiaba		<wayawa> (goiaba) {Chacon 2016}	wayawa			wayawa	w a y a w a	Chacon 2016	2115	
#
4841	Baniwa	gut (animal)			estripar		<-meettadáta> (estripar) {Ramirez 2001}	-meettadáta			-meettadáta	� m e e t t a d a � t a	Ramirez 2001	2118	
#
1948	Achagua	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$bainaʃi$ <báinaʃi> (cabello) {Melendez 2011}	báinaʃi	bainaʃi		bainaʃi	b a i n a ʃ i	Melendez 2011	2119	
1949	Baré	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$nu-itʃa$ (cabelo) {Oliveira 93}, $iitʃa$ (cabelo) {Oliveira 93}		nu-itʃa		nu-itʃa	n u � i t � a	Oliveira 93	2121	
1950	Baré	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$nu-itʃa$ (cabelo) {Oliveira 93}, $iitʃa$ (cabelo) {Oliveira 93}		iitʃa		iitʃa	ii tʃ a	Oliveira 93	2121	
1951	Kabiyari	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	<tʃuna> $tʃuna$ (cabelo) {Epps}	tʃuna	tʃuna		tʃuna	tʃ u n a	Epps	2121	
1952	Piapoco	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	<ichùna> $itʃùna$ (cabelo) {Epps}, <cawáyu> (cabelo) {Klumpp 1995}	ichùna	itʃùna		itʃùna	i tʃ ù n a	Epps	2121	
1953	Piapoco	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	<ichùna> $itʃùna$ (cabelo) {Epps}, <cawáyu> (cabelo) {Klumpp 1995}	cawáyu			cawáyu	c a w á y u	Klumpp 1995	2129	
1954	Resigaro	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$híveʔádʒiiʔó$ (cabelo) {Epps}		híveʔádʒiiʔó		híveʔádʒiiʔó	h í v e ʔ á dʒ ii ʔ ó	Epps	2124	
1955	Tariana	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$dí-c̃a$ (cabelo) {Aikhenvald 2001}, $dí-c̃a-ɾe$ (cabelo) {Aikhenvald 2001}		dí-c̃a		dí-c̃a	d i � � � � a	Aikhenvald 2001	2125	
1956	Tariana	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$dí-c̃a$ (cabelo) {Aikhenvald 2001}, $dí-c̃a-ɾe$ (cabelo) {Aikhenvald 2001}		dí-c̃a-ɾe		dí-c̃a-ɾe	d i � � � � a � ɾ e	Aikhenvald 2001	2125	
1957	Warekena	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$nutʃipana$ (cabelo) {Aikhenvald 2012}, $nuwitu$ (pelo) {Aikhenvald 2012}		nutʃipana		nutʃipana	n u tʃ i p a n a	Aikhenvald 2012	2121	
1958	Warekena	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$nutʃipana$ (cabelo) {Aikhenvald 2012}, $nuwitu$ (pelo) {Aikhenvald 2012}		nuwitu		nuwitu	n u w i t u	Aikhenvald 2012	2131	
1959	Yukuna	hair	pelo, cabello	cheveu(x)	cabelo, pelo	body part	$wilahi$ (cabelo) {Epps}		wilahi		wilahi	w i l a h i	Epps	2127	
4842	Baniwa	hair			cabelo, pelo		<-tsíkole> (cabelo) {Ramirez 2001}	-tsíkole			-tsíkole	� t � i � k o l e	Ramirez 2001	2120	
#
1960	Achagua	hammock	hamaca	hamac	rede	material culture	$a:maka$ <áamaka> (hamaca) {Melendez 2011}	áamaka	a:maka		a:maka	a: m a k a	Melendez 2011	2132	
1961	Baré	hammock	hamaca	hamac	rede	material culture	$ʰmi$ (rede) {Oliveira 93}		ʰmi		ʰmi	ʰm i	Oliveira 93	2134	
1962	Kabiyari	hammock	hamaca	hamac	rede	material culture	<héeta> $héeta$ (rede) {Epps}	héeta	héeta		héeta	h é e t a	Epps	2133	
1963	Piapoco	hammock	hamaca	hamac	rede	material culture	<amàca> $amàka$ (rede) {Epps} <é(e)da> $é(e)da$ (rede) {Epps}	amàca	amàka		amàka	a m à k a	Epps	2132	
1964	Piapoco	hammock	hamaca	hamac	rede	material culture	<amàca> $amàka$ (rede) {Epps} <é(e)da> $é(e)da$ (rede) {Epps}	é(e)da	é(e)da		é(e)da	é <?> e <?> d a	Epps	2133	
1965	Resigaro	hammock	hamaca	hamac	rede	material culture	$hamáakú$ (rede) {Epps}, $hetéʔ$ (rede) {Epps}		hamáakú		hamáakú	h a m á a k ú	Epps	2132	
1966	Resigaro	hammock	hamaca	hamac	rede	material culture	$hamáakú$ (rede) {Epps}, $hetéʔ$ (rede) {Epps}		hetéʔ		hetéʔ	h e t é ʔ	Epps	2133	
1967	Tariana	hammock	hamaca	hamac	rede	material culture	$amakú$ (rede) {Aikhenvald 2001}		amakú		amakú	a m a k ú	Aikhenvald 2001	2132	
1968	Warekena	hammock	hamaca	hamac	rede	material culture	$bitʃa$ (rede) {Aikhenvald 2012}		bitʃa		bitʃa	b i tʃ a	Aikhenvald 2012	2139	
1969	Yukuna	hammock	hamaca	hamac	rede	material culture	$hamaká$ {Epps}, $hetá$ {Epps}		hamaká		hamaká	h a m a k á	Epps	2132	
1970	Yukuna	hammock	hamaca	hamac	rede	material culture	$hamaká$ {Epps}, $hetá$ {Epps}		hetá		hetá	h e t á	Epps	2133	
4843	Baniwa	hammock			rede		<piéta> (rede) {Ramirez 2001}	piéta			piéta	p i é t a	Ramirez 2001	2133	
#
1971	Achagua	hand	mano	main	mão	body part	$kahiʃi$ <káhiʃi> (mano) {Melendez 2011}	káhiʃi	kahiʃi		kahiʃi	k a h i ʃ i	Melendez 2011	2140	
1972	Baré	hand	mano	main	mão	body part	$kʰabi$ (mão) {Oliveira 93}		kʰabi		kʰabi	kʰ a b i	Oliveira 93	2141	
