EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
jaw	mandíbula	mâchoire	mandíbula	body part		$-kakoápa$ (mandibula) {Ramirez 2001}			$nuβé:sabà:$ (mandíbula) {Klumpp 1995}	$-kaʔakáú$ (madíbula) {Allin 1979}			
jump	saltar (brincar)	sauter	saltar	verb.act	$e:nueriu$ <éenueriu> (saltar) {Melendez 2011}	$-káda:$ (saltar) {Ramirez 2001}			$nupisìakaβa$ (saltar) {Klumpp 1995}	$tua-ʒú$ (saltar) {Allin1979}			$heɲoʔokaho$ (saltar) {Schauer 2005}
kick	patear/dar patadas	frapper avec le pied	chutar	verb.act	$bawederi$ <báwederi> (patear) {Melendez 2011}				$nubaβàidaka$ (patear) {Klumpp 1995}	$tyugaʃiʔ-khú$ (chutar) {Allin 1979}	$di-pití$ (chutar) {Aikhenvald 2001}		
kidney	riñon	rein	rim	body part	$tʃaleʃi$ <tʃáleʃi> (riñon) {Melendez 2011}	$-téphe$ (rim) {Ramirez 2001}					$kesanída$ (rim) {Aikhenvald 2001}		$láwahi$ (rim) {Schauer 2005}
kill	matar	tuer	matar	verb.act	$i:nueri$ <íinueri> (matar) {Melendez 2011}	$-í:noa$ (matar) {Ramirez 2001}	$ʰmudu$ (matar) {Oliveira 93}	<nua> $nua$ (matar) {Epps}	<étáidaca> $étáidaka$ (matar) {Epps}, <nuáca> $nuáka$ {Epps}	$kainée-kʰú$ (matar) {Epps}, $mótsʰó$ (matar) {Epps}	$dí:nu$ (matar) {Aikhenvald 2001}, $dínu$ (matar) {Aikhenvald 2001}	$yutʃia$ (matar) {Aikhenvald 2012}	$nókahe$ (matar) {Epps}
kinɡfisher	martin pescador	martin-pêcheur	martim-pescador	bird	$tʃaliri$ <tʃalíri> (martin pescador) {Melendez 2011}	$dzá:ɺiɻo$ (martim-pescador) {Ramirez 2001}		<tʃáriri> $tʃáriri$ (martim-pescador) {Epps}	<chalìri> $tʃalìɾi$ (martim-pescador) {Epps}		$yá:liɾu$ (martim-pescador) {Aikhenvald 2001}		$kaɾiʔitʃé$ (martim-pescador) {Epps}
knee	rodilla	genou	joelho	body part	$juruiʃi$ <júruiʃi> (rodilla) {Melendez 2011}	$-hó:ɻhi$ (joelho) {Ramirez 2001}			$wà-uluì$ (joelho) {Epps}	$-hoʔdónaú$ (joelho) {Allin 1979}	$dísi$ (joelho) {Aikhenvald 2001}	$nukuwaɾutaɾe$ (joelho) {Aikhenvald 2012}	$ɾiʔiɾúpatʃi$ (joelho) {Schauer 2005}
knife	cuchillo	couteau	faca	material culture	$wisubiʃi$ <wisúbiʃi> (cuchillo) {Melendez 2011}	$maɺíje$ (faca) {Ramirez 2001}	$titehe$ (faca) {Oliveira 93}		<wisùanási> $wisùanási$ (faca) {Epps}	$vaʔagad͡ʒáʔ$ (faca) {Epps}	$maliyé$ (faca) {Aikhenvald 2001}	$kutʃíyu$ (faca) {Aikhenvald 2012}	$iɾahú$ (faca) {Epps}
know	saber	savoir	saber	verb.stat	$e:weri$ <éeweri> (saber) {Melendez 2011}, $jale:na:$ <jaléenaa> (saber) {Melendez 2011}	$-á:nhe:$ (saber) {Ramirez 2001}	$katehesa$ (saber) {Oliveira 93}	<aranhú> $aranhú$ (saber) {Epps}	<alíacawa> $alíakawa$ (saber) {Epps}	$-manaá-tóʔ$ (saber) {Allin 1979}	$di-yéka$ (saber) {Aikhenvald 2001}	$tse$ (saber) {Aikhenvald 2012}	$weʔepíkahe$ (saber) {Epps}
lake	lago, cocha	lac	lago, Cocha	terrain	$kalisa$ (lago) {Ramirez 2001}	$kaɺít̺a$ (lago) {Ramirez 2001}	$kariahabuku$ (lagoa) {Oliveira 93}	<kalita> $kalita$ (lago) {Epps}	<úni> $úni$ (lago) {Epps}, $kalìsa$ (lago) {H&R 1992}	$húneú$ (lago) {Epps}	$maká-nai$ (lago) {Aikhenvald 2001}	$ʃiani$ (lago) {Aikhenvald 2012}, $laguna$ (lago) {Aikhenvald 2012}	$kaeha$ (lago) {Schauer 2005}
land snail (edible)	caracol	escargot	caracol	mollusk	$walaluta$ <waláluta> (caracol) {Melendez 2011}	$keɻát̺o$ (caracol) {Ramirez 2001}, $tsikówa$ (caracol) {Ramirez 2001}	$tikua$ (caracol) {Oliveira 93}		$kaɺàsu$ (caracol) {Klumpp 1995}, $úni$ (lago) {Klumpp 1995}		$kaɾasúda$ (caracol) {Aikhenvald 2001}		$waɾoɾo$ (caracol) {Schauer 2005}
later	más tarde	plus tard	mais tarde	temporal adv	$taikala$ <táikala> (por la tarde) {Melendez 2011}	$t̺á:mhietsa$ (mais tarde) {Ramirez 2001}							$ɲaano$ (mais tarde) {Schauer 2005}
laugh	reír	rire	riso	verb.act	$kaideri$ <káideri> (reír) {Melendez 2011}	$-íka:$ (riso) {Ramirez 2001}		<iká[ha]> $iká[ha]$ (rir) {Epps}	<icáaníca> $ikáaníka$ (rir) {Epps}	$kʰoní$ (rir) {Epps}	$dí-ka$ (rir) {Aikhenvald 2001}	$yenita$ (rir) {Aikhenvald 2012}	$iʔitʃakahe$ (riso) {Schauer 2005}
lay down (tr.)	poner/colocar	mettre	colocar	verb.act	$walederi$ <wálederi> (poner, poner algo) {Melendez 2011}, $suteri$ <súteri> (poner, poner algo) {Melendez 2011}	$-káda:$ (colocar) {Ramirez 2001}					$di-yeneta$ (colocar) {Aikhenvald 2001}	$ʃuɾa$ (colocar) {Aikhenvald 2012}	$toʔotákahe$ (colocar) {Schauer 2005}
lazy	perezoso, flojo	paresseux	preguiçoso	verb.stat	$i:nui$ <íinui> (perezoso) {Melendez 2011}	$í:no$ (preguiçoso) {Ramirez 2001}			$ínuíɾi$ (flojo) {Klumpp 1995}	$ínó-mináagpi$ (preguiçoso) {Allin 1979}	$inasíte$ (preguiçoso) {Aikhenvald 2001}, $inasúite$ (preguiçoso) {Aikhenvald 2001}		$ihnuni$ (preguiçoso) {Schauer 2005}
leaf	hoja	feuille	folha	plant	$banabai$ <bánabai> (hoja) {Melendez 2011}	$panaphe$ (folha) {Ramirez 2001}, $-phe$ (folha) {Ramirez 2001}	$dabana$ (folha) {Oliveira 93}	<apana> $apana$ (folha) {Epps}	<ibáiná> $ibáiná$ (folha) {Epps}	$apánáʔaamí$ (folha) {Epps}	$paná-phe$ (folha) {Aikhenvald 2001}		$wítʃuʔupe$ (folha de qualqueɾ planta) {Schauer 2005}
leafcutter ant	curhuince	fourmis coupe-feuille	formiga-cortadeira, formiga-carregadeira	insect	$ke:ʃi$ <kéeʃi> (hormiga) {Melendez 2011}	$kó:whe$ (cordadeiras e carregadeiras) {Ramirez 2001}			<cuwée> $kuwé:$ (formiga-cortadeira) {Epps}				
left	izquierda	gauche	esquerda	other	$apaulikuehe$ <apáulikuehe> (izquierdo) {Melendez 2011}	$pá:t̺oɺi$ (esquerda) {Ramirez 2001}		<péʔt̪u-ri> $péʔt̪u-ri$ (esquedo) {Epps}	<apáu> $apáu$ (esquerda) {Epps}	$apáʔmíʔosí$ (esquerda) {Epps}			$paxɾú éeho pumitá$ (esquerda) {H&ɾ 1992}
leg	pierna	jambe	perna	body part	$kawaʃi$ <káwaʃi> (pierna) {Melendez 2011}	$-kawa$ (perna) {Ramirez 2001}	$dawana$ (perna) {Oliveira 93}		<càwa> $kàwa$ (perna) {Epps}	$ípʰíkuba$ (perna) {Epps}, $hiiʔpákuba$ (perna) {Epps}	$di-kawá-na$ (perna) {Aikhenvald 2001}	$nawa$ (perna) {Aikhenvald 2012}, $nutsu$ (perna) {Aikhenvald 2012}	$tahnehi$ (perna) {Schauer 2005}
letʼs ɡo	vamos	on y vas, allons-y	vamos, deixei?	verb.hort		$wá:(wa)$ (vamos) {Ramirez 2001}				$haádú$ (vamos) {Allin1979}	$má!$ (vamos) {Aikhenvald 2001}		
liana, general	bejuco, soga del monte	liane	liana, cipó	plant	$a:hkua$ <áahkua> (bejuco) {Melendez 2011}	$dápi$ (cipó) {Ramirez 2001}			$mamiɾi$ (bejuco) {Klumpp 1995}	$epíipíuuʔó$ (cipó) {Allin 1979}	$dá:pi$ (cipó) {Aikhenvald 2001}	$ata$ (cipó) {Aikhenvald 2012}	
lice-infested	sucio, piojoso	sale, pouilleux	piolhento	verb.stat	$witeneʃi$ <witéneʃi> (piojo) {Melendez 2011}								
lick	lamer	lécher	lamber	verb.act		$-péɻo$ (lamber) {Ramirez 2001}			$nubèɾùaka$ (lamber) {Klumpp 1995}	$-póʔdo$ (lamber) {Allin 1979}, $nihiʔ-khú$ (lamber) {Allin 1979}	$di-péɾu$ (lamber) {Aikhenvald 2001}		$apíɾoʔokahe$ (lamber) {Schauer 2005}
lie	mentir	mentir	mentir	verb			$tʃakasa$ (mentir) {Oliveira 93}		$itʃìβaka$ (mentir) {Klumpp 1995}, $tʃìβái$ (mentira) {Klumpp 1995}	$ʃoóné-ʒú$ (mentir) {Allin 1979}		$dzeweni$ (mentir) {Aikhenvald 2012}	$pahlakahe$ (mentir) {Schauer 2005]
life	vida	vie	vida	other					$nu-káuka$ (vida) {Klumpp 1995}	$ʒaákovégí$ (vida) {Allin 1979}			$kahmutʃahi$ (vida) {Schauer 2005}
lift (trans)	levantar (alzar)	soulever	levantar, erguer	verb.act	$barueriu$ <bárueriu> (levantar) {Melendez 2011}, $borueriu$ <bórueriu> (levantar) {Melendez 2011}		$birana$ (levantar) {Oliveira 93}		$nubàlùadaka$ (levantar) {Klumpp 1995}, $numitʃàidaka$ (levantar) {Klumpp 1995}, $nuβènúadaka$ (levantar) {Klumpp 1995}	$kobeʔ-khú$ (levantar) {Allin 1979}	$di-íta$ (levantar) {Aikhenvald 2001}	$nakata$ (levantar) {Aikhenvald 2012}	$hátʃoʔotakahe$ (levantar) {Schauer 2005}
light a fire (VT)	encender	allumer un feu	acender	verb.act		$-dokóɲa$ (acender) {Ramirez 2001}, $-keɻá:ta$ (acender) {Ramirez 2001}			$nupukúadaka$ (encender) {Klumpp 1995}	$keétse-khú$ (acender) {Allin 1979}	$di-kúka$ (acender) {Aikhenvald 2001}, $di-dukúnia$ (acender) {Aikhenvald 2001}, $kéɾa di-áwínu$ (acender) {Aikhenvald 2001}	$bukuita$ (acender o fogo) {Aikhenvald 2012}, $ameɾia$ (acender) {Aikhenvald 2012}, $yuta$ (acender) {Aikhenvald 2012}	$apʰoʔotákahe$ (acender) {Schauer 2005}
lightning (N)	relámpago	éclair, foudre	relâmpago	other	$beruberubee$ <berúberubee> (relámago) {Melendez 2011}				<énu> $énu$ (relâmpago) {Epps}		$énu di-peɾitá$ (relâmpago) {Aikhenvald 2001}		$pitʃaní apíɾoʔoka$ (relâmpago) {Schauer 2005}
limp	cojear	boiter	mancar	verb.act									
live	vivir	vivre	viver	verb.stat	$kawikaʃi$ <káwikaʃi> (vivo, viva) {Melendez 2011}	$ká:whi$ (vivo) {Ramirez 2001}			<nùyaca> $nùjaka$ (viver) {Epps}, $káuri$ (vivo) {H&R 1992}	$aniigí$ (vivo) {Allin 1979}		$tsume$ (estar vivo) {Aikhenvald 2012}, $ʃia$ (viver) {Aikhenvald 2012}	$iʔimakahe$ (viver) {Schauer 2005}
liver	higado	foie	fígado	body part	$tʃa:liʃi$ <tʃáaliʃi> (hígado) {Melendez 2011}	$-xópana$ (fígado) {Ramirez 2001}		<úupana> $úupana$ (fígado) {Epps}	<ubana> $ubana$ (fígado) {Epps}	$-opáanú$ (fígado) {H&R 1992}	$di-kalétana$ (fígado) {Aikhenvald 2001}	$nenituana$ (fígado) {Aikhenvald 2012}, $nupane$ (fígado) {Aikhenvald 2012}, $ʃaʃapaɾe$ (fígado) {Aikhenvald 2012}	$panahi$ (fígado) {Schauer 2005}
lizard, generic	lagartija	lézard	lagarto	animal	$du:ru$ <dúuru> (lagarto) {Melendez 2011}	$api-dóponi$ (osga, lagartixa) {Ramirez 2001}		<núupu> $núupu$ (calango) {Epps}	$túpu$ (lagarto) {Klumpp 1995}	$sovidákó$ (lagarto) {Allin 1979}	$dúpu$ (calango) {Epps}		$paɾayú$ (lagarto) {Schauer 2005}
long	largo	long	comprido, longo	other	$matʃe:ni:$ <matʃéenii> (largo) {Melendez 2011}	$jápi$ (comprido) {Ramirez 2001}	$harabi$ (comprido) {Oliveira 93}	<wia> (comprido) {Ramirez, 2001}	<cáaléeri> $káaléeri$ (longo) {Epps}	$tseinóʔ$ (comprido) {Epps}	$wyá-wani$ (comprido) {Aikhenvald 2001}, $wyakíte$ (comprido) {Aikhenvald 2001}	$baɾedaɾi$ (comprido) {Aikhenvald 2012}, $baɾede$ (comprido) {Aikhenvald 2012}	$wapʰeɾeni$ (longo) {Schauer 2005}
look for	buscar	chercher	pesquisar	verb.act	$murueri$ <múrueri> (buscar) {Melendez 2011}	$o:ma$ (procurar) {Ramirez 2001}			$nukutáka$ (buscar) {Klumpp 1995}	$-minú$ (buscar) {Allin 1979}		$yata$ (buscar) {Aikhenvald 2012}	$kulakahe$ (buscar) {Schauer 2005}
lose object (VT)	perder	perdre	perder	verb		$-peéko$ (perder) {Ramirez 2001}	$mahasa$ (perder) {Oliveira 93}				$di-yaléta$ (perder) {Aikhenvald 2001}		$kapitʃátakahe$ (perder) {Schauer 2005}
louse	piojo	pou	piolho	insect	$witeneʃi$ <witéneʃi> (piojo) {Melendez 2011}	$towída$ (piolho) {Ramirez 2001}	$tuwida$ (piolho) {Oliveira 93}	<nií> $nií$ (piolho) {Epps}	<cùlibàu> $kùlibàu$ (piolho) {Epps}	$netetsʰíʔó$ (piolho) {Epps}	$kawháneɾi$ (piolho) {Aikhenvald 2001}, $kawháneɾe$ (piolho) {Aikhenvald 2001}		$inehí$ (piolho) {Schauer 2005}, $ɾine$ (piolho) {Schauer 2005}
love	amar	aimer	amar	verb.stat	$ni:naʃi$ <níinaʃi> (amor) {Melendez 2011}	$-pédzo$ (amar) {Ramirez 2001}, $-o:ma$ (amar) {Ramirez 2001}			$nuβáβaka$ (amar) {Klumpp 1995}	$-motshání$ (amar) {Allin 1979}	$di-mésa$ (amar) {Aikhenvald 2001}		$íkiʔiha wátakana$ (amar) {Schauer 2005}
lung	pulmón	poumon	pulmão	body part		$-t̺á:t̺a:ni$ (pulmão) {Ramirez 2001}			<misàale> $misàale$ (pulmão) {Epps}	$váɸóʔootsí$ (pulmão) {Epps}	$ka-ɾahtá$ (pulmão) {Aikhenvald 2001}		$mahaʔahéɾehi$ (pulmão) {Schauer 2005}
macaw	guacamayo	ara macoa	arara	bird	$e:ta$ <éeta> (guacamaya) {Melendez 2011}	$á:daɻo$ (arara) {Ramirez 2001}	$kawey$ (arara) {Oliveira 93}	<narú> $narú$ (arara) {Epps}	$atàlu$ (arara) {H&R 1992}, $éda$ (arara) {H&R 1992}	$anáadó$ (arara) H&R92	$ádaɾu$ (arara) {Aikhenvald 2001}	$paɾahã$ (arara) {Aikhenvald 2012}	$laʔaɾú$ $laʔaɾú$ (arara) {Epps}
make dam	hacer presa	faire un barrage	fazer represa	verb		$-wíni$ (presa) {Ramirez 2001}							
make wet	mojar	mouiller	molhar	verb		$-pootsiáta$ (molhar) {Ramirez 2001}	$rama$ (molhar) {Oliveira 93}			$-ovoʔtú$ (molhado) {Allin 1979}	$púc̃a$ (molhar) {Aikhenvald 2001}	$muʃa$ (molhar) {Aikhenvald 2012}	$ehátakahe$ (molhar) {Schauer 2005}
make, manufacture, prepare	hacer, confectionar	faire, fabriquer, confectionnner, préparer	fazer, construir	verb.act	$mederi$ <méderi> (hacer) {Melendez 2011}	$-dze:káta$ (construir) {Ramirez 2001}			<numànica> (construir) {Klumpp 1995}				
man	hombre	homme	homem	other	$waʃialikueri$ <waʃiálikueri> (hombre) {Melendez 2011}	$atsíanɺi$ (homem) {Ramirez 2001}, $newíki$ (homem) {Ramirez 2001}	$henari$ (homem) {Oliveira 93}	<t̪ijá-ri> $t̪ijá-ri$ (homem) {Epps}	$asìali$ (homem) {H&R 1992}	$atsáagí$ (homem) {Epps}	$c̃iãɾi$ (homem) {Aikhenvald 2001}	$enami$ (homem) {Aikhenvald 2012}	$atʃiɲá$ (homem) {Epps}
manioc beer	masato (chicha)	bière au manioc	cauim, cassiri, caxiri	other	$kulia:$ <kuliáa> (chicha de casabe) {Melendez 2011}	$pádzawaɻo$ (caxiri) {Ramirez 2001}				$kaʒíigíbú$ (caxiri) {Epps}, $méémeʔó$ (caxiri) {Epps}	$payáɾu$ (caxiri) {Aikhenvald 2001}, $kasiwa-pé$ (caxiri) {Aikhenvald 2001}, $sañápe$ (caxiri) {Aikhenvald 2001}, $awhíyapé$ (caxiri) {Aikhenvald 2001}, $má$ (caxiri) {Aikhenvald 2001}, $hunéyapé$ (caxiri) {Aikhenvald 2001}		$kana halá amúɾaʔatakanami$ (caxiri) {Schauer 2005}
manioc bread	casabe	pain au manioc	beijú	other	$be:ri$ <béeri> (casabe) {Melendez 2011}, $ju:la$ <júula> (casabe) {Melendez 2011}	$peéthe$ (beijú) {Ramirez 2001}, $-ooɺéthe$ (beijú) {Ramirez 2001}		<kúnhu> $kúnhu$ (beijú) {Epps}	$nú:ɺe$ (casabe) {Klumpp 1995}	$maaʔmú$ (pão de mandioca) {Epps}, $peé-gí$ (pão de mandioca) {Ramirez 2001}	$páithe$ (beiju) {Aikhenvald 2001}, $pethé$ (beiju) {Aikhenvald 2001}, $keñápa-kúthe$ (beiju) {Aikhenvald 2001}, $kaukúthe$ (beiju) {Aikhenvald 2001}, $siɾuɾi-phíwa$ (beiju) {Aikhenvald 2001}	$ka:ka$ (beijú) {Aikhenvald 2012}	$kuhnú$ (beijú) {Schauer 2005}
manioc juice	jugo de mandioca	jus de manioc	água da mandioca	other		$-á:na:$ (agua do mandioca) {Ramirez 2001}, $-a:$ (agua do mandioca) {Ramirez 2001}					$yaláki$ (bebida de beiju) {Aikhenvald 2001}		
manioc press	matafrio, sebucan, tipiti	presse à manioc	tipiti	material culture	$irika:$ <iríkaa> (sebucán) {Melendez 2011}				$iɾìka$ (matafrio) {Klumpp 1995}, $nuiɾìkani$ (matafrio) {Klumpp 1995}	$pasoviíté$ (pititi) {Epps}, $kaj-aákú$ (pititi) {Epps}	$hiɾína$ (tipiti) {Aikhenvald 2001}	$ɾiãhã$ (tipiti) {Aikhenvald 2012}	$piyutena$ (matafrio, sebucan) {Schauer 2005}
manioc, bitter	yuca brava	manioc amer	mandioca	plant.edible	$a:liri$ <aaliri> (yuca) {Melendez 2011}, $ke:niru$ <keeniru> (yuca) {Melendez 2011}	$káini$ (mandioca) {Ramirez 2001}		<káaji> $káaji$ (mandioca) {Epps}	<káini> $káini$ (mandioca brava) {dp91}	$kaání$ (mandioca) {Epps}	$ãwhi$ (mandioca) {Aikhenvald 2001}, $awhída$ (mandioca) {Aikhenvald 2001}	$á:ʃi$ (mandioca) {Aikhenvald 2012}	$kaʔa$ (mandioca) {Epps}, $kahiɾu$ (mandioca) {Epps}
manioc, sweet	yuca dulce	manioc doux	mandioca doce?, macaxeira	plant.edible		$da:páke$ (mandioca doce) {Ramirez 2001}, $dza:páke$ (mandioca doce) {Ramirez 2001}, $dze:káke$ (mandioca doce) {Ramirez 2001}, $ha:ɺéne$ (mandioca doce) {Ramirez 2001}, $kamheɻóke$ (mandioca doce) {Ramirez 2001}, $koɺiɻíke$ (mandioca doce) {Ramirez 2001}, $ɺiewhéke$ (mandioca doce) {Ramirez 2001}, $ta:ɺíke$ (mandioca doce) {Ramirez 2001}, $wa:ɻhéke$ (mandioca doce) {Ramirez 2001}			<capìeli> $kapìeli$ (mandioca doce) {Epps}	$kádʒíigí$ (macaxeira) {Epps}	$hanípa$ (muito) {Aikhenvald 2001}, $sóme$ (muito) {Aikhenvald 2001}, $tsóme$ (muito) {Aikhenvald 2001}, $tsúme$ (muito) {Aikhenvald 2001}, $súme$ (muito) {Aikhenvald 2001}, $hanúpe$ (muito) {Aikhenvald 2001}		$paɾí$ (macaxeira) {Epps}
many, ANIM	mucho	beaucoup de, plusieurs	muito	other	$itʃabai$ <itʃabai> (mucho) {Melendez 2011}, $bahiala$ <báhiala> (mucho) {Melendez 2011}	$hanípa$ (muito) {Ramirez 2001}, $hóɻe$ (muito) {Ramirez 2001}, $manópe$ (muito) {Ramirez 2001}	$ibabuku$ (muito) {Oliveira 93}		$madékaná$ (muito) {H&R 1992}, $manùba$ (mucho) {Klumpp 1995}	$an̥epúúʔ$ (muito) {H&R 1992}	$hanípa$ (muito) {Aikhenvald 2001}, $sóme$ (muito) {Aikhenvald 2001}, $tsóme$ (muito) {Aikhenvald 2001}, $tsúme$ (muito) {Aikhenvald 2001}, $súme$ (muito) {Aikhenvald 2001}, $hanúpe$ (muito) {Aikhenvald 2001}	$ʃupe$ (muito) {Aikhenvald 2012}, $akune$ (muito) {Aikhenvald 2012}	$tʃaʔapʰá$ (muito) {Schauer 2005}
many, INAM	mucho	beaucoup de, plusieurs	muito	other	$itʃabai$ <itʃabai> (mucho) {Melendez 2011}, $bahiala$ <báhiala> (mucho) {Melendez 2011}	$hanípa$ (muito) {Ramirez 2001}, $hóɻe$ (muito) {Ramirez 2001}, $manópe$ (muito) {Ramirez 2001}	$ibabuku$ (muito) {Oliveira 93}		$madékaná$ (muito) {H&R 1992}, $manùba$ (mucho) {Klumpp 1995}	$an̥epúúʔ$ (muito) {H&R 1992}	$hanípa$ (muito) {Aikhenvald 2001}, $sóme$ (muito) {Aikhenvald 2001}, $tsóme$ (muito) {Aikhenvald 2001}, $tsúme$ (muito) {Aikhenvald 2001}, $súme$ (muito) {Aikhenvald 2001}, $hanúpe$ (muito) {Aikhenvald 2001}	$ʃupe$ (muito) {Aikhenvald 2012}, $akune$ (muito) {Aikhenvald 2012}	$tʃaʔapʰá$ (muito) {Schauer 2005}
maternal uncle	tio, hermano de madre	oncle, frère de la mère	tio, irmão do mãe	kinship	$kuiriʃi$ <kúiriʃi> (tío) {Melendez 2011}	$-khiɻi$ (tio) {Ramirez 2001}, $-haniti-phe:ɻi$ (tio) {Ramirez 2001}, $-haniɻiténa:$ (tio) {Ramirez 2001}	$nu-kute$ (tio) {Oliveira 93}		$kuí$ (hermano de mi madre) {Klumpp 1995}, $nukuíɾi$ (hermano de mi madre) {Klumpp 1995}		$di-khí-ɾi$ (tio: irmão da mãe) {Aikhenvald 2001}	$nuku$ (tio) {Aikhenvald 2012}	$owilá$ (tio paterno) {Schauer 2005}, $oilá$ (tio paterno) {Schauer 2005}
meat	carne	viande	carne	other	$i:naʃi$ <íinaʃi> (carne) {Melendez 2011}	$-í:pe$ (carne) {Ramirez 2001}	$nu-diri$ (carne) {Oliveira 93}	<i'i> $iʔi$ (carne) {Epps}	<iinási> $iinási$ (carne) {Epps}	$gíʔí$ (carne) {Epps}	$dí-pe$ (carne) {Aikhenvald 2001}	$mitʃi$ (carne) {Aikhenvald 2012}	$iʔihi$ (carne) {Epps}
medicine	remedio	médecin	remédio	other	$dabe$ <dábe> (remedio) {Melendez 2011}, $dibe$ <díbe> (remedio) {Melendez 2011}	$tápe:$ (remédio) {Ramirez 2001}	$binihi$ (remédio) {Oliveira 93}		$najú:dà:ná$ (remedio) {Klumpp 1995}	$tiʔphoótshí$ (remédio) {Allin 1992}	$di-tapé$ (remédio) {Aikhenvald 2001}	$pinaʃi$ (remédio) {Aikhenvald 2012}	
menstruate	menstruar	avoir ses règles	menstruar	verb	$waitʃo:$ <wáitʃoo> (menstruar) {Melendez 2011}	$kanópa$ (menstruar) {Ramirez 2001}			$úanísakaβa$ (menstruar) {Klumpp 1995}				$keɾíɾaʔakaho$ (menstruar) {Schauer 2005}
millipede	ciempiés, milpiés	mille-pattes	centopéias, milípedes	animal	$awatʃa$ <awátʃa> (ciempiés) {Melendez 2011}, $a:kuru$ <áakuru> (ciempiés) {Melendez 2011}					$ʒadaʔígú$ (centopeia) {Allin 1979}	$amáɾu sápale$ (centopeia) {Aikhenvald 2001}		$haʔakuɾú$ (centopéia) {Schauer 2005}
mix, mix sth with sth else, NOT stir	mezclar	mélanger, remuer	misturar	verb		$-ke:wita$ (misturar) {Ramirez 2001}, $-tsikhia$ (misturar) {Ramirez 2001}			$nuèβìadaka$ (mezclar) {Klumpp 1995}	$vio-khú$ (misturar) {Allin 1979}	$di-ñamúɾa$ (misturar) {Aikhenvald 2001}, $di-kúɾya$ (misturar) {Aikhenvald 2001}, $di-kúdu$ (misturar) {Aikhenvald 2001}	$waʃata$ (misturar) {Aikhenvald 2012}	$ketʃípaʔakahe$ (mistuɾar algo seco) {Schauer 2005}
mix, stir liquid, with spoon or other utensil	mezclar	mélanger	misturar	verb		$-ke:wita$ (misturar) {Ramirez 2001}, $-tsikhia$ (misturar) {Ramirez 2001}			$nuèβiadaka$ (mezclar) {Klumpp 1995}	$vio-khú$ (misturar) {Allin 1979}	$di-ñamúɾa$ (misturar) {Aikhenvald 2001}, $di-kúɾya$ (misturar) {Aikhenvald 2001}, $di-kúdu$ (misturar) {Aikhenvald 2001}	$waʃata$ (misturar) {Aikhenvald 2012}	$ɲatakahe$ (misturar algo liquido) {Schauer 2005}
mock, make fun of, laugh at	burlar(se de)	se moquer de quelqu'un	zombar, fazer uma piada sobre, ridicularizar	verb	$kanul:$ <kanúli> (burla) {Melendez 2011}								$ɾamákahe laʔakana: amákahe$ (zombar de alguém) {Schauer 2005}
monkey	mono	singe	macaco	animal		$háɺo$ (macaco) {Ramirez 2001}	$awemi$ (macaco) {Oliveira 93}		$amàɺu$ (mono) {Klumpp 1995}	$máʔvo$ (mico) {Allin 1979}	$kápaɾu$ (macaco barrigudo) {Aikhenvald 2001}, $kusú$ (macaco da noite) {Aikhenvald 2001}, $ipéku$ (macaco de noite) {Aikhenvald 2001}, $c̃íc̃i$ (macaco de rabo curto) {Aikhenvald 2001}, $íc̃i$ (macaco guariba) {Aikhenvald 2001}, $maliápa$ (macaco louro) {Aikhenvald 2001}, $púwe$ (macaco prego) {Aikhenvald 2001}, $písuɾu$ (macaco primo de zogue-zogue) {Aikhenvald 2001}, $wáki$ (macaco zogue-zogue) {Aikhenvald 2001}	$puátʃi$ (macaco) {Aikhenvald 2012}	$hímuʔu$ (macaco) {Schauer 2005}, $kalapitʃi$ (macaco branco) {Schauer 2005}, $waʔakú$ (macaco negro) {Schauer 2005}, $kuʔuhɾí$ (macaco noturno) {Schauer 2005}, $kuwihɾú$ (mico) {Schauer 2005}
moon	luna	lune	lua	other	$ke:ri$ <kéeri> (luna) {Melendez 2011}	$ké:ɻi$ (lua) {Ramirez 2001}	$kʰi$ (lua) {Oliveira 93}	<kéeri> $kéeri$ (lua) {Epps}	<quéeri> $ké:ɾi$ (lua) {Epps}	$keégí$ (lua) {Epps}	$de:pite ke:ɾi$ (lua) {Aikhenvald 2001}	$aʃíta$ (lua) {Aikhenvald 2012}	$keɾi$ (lua) {Epps}
morning	mañana	matin	amanhã	temporal adv		$thé:wa$ (amanhã) {Ramirez 2001}			$mapisáita$ (amanhã) {Klumpp 1995}, $táβitʃa$ (amanhã) {Klumpp 1995}	$aápanú$ (amanhã) {Allin 1979}	$désu$ (amanhã) {Aikhenvald 2001}		$apakala$ (amanhã) {Schaueɾ 2015}
mosquito	zancudo	moustique	mosquito, pernilongo	insect	$te:ku$ <téeku> (zancudo) {Melendez 2011}			<nitʃú> $nitʃú$ (mosquito) {Epps}	<mapìri> $mapìri$ (mosquito) {Epps}, $anàʧu$ (monquito) {H&R 1992}	$haníitso$ (mosquito) {Payne 1991}	$pú:pu$ (mosquito) {Aikhenvald 2001}		$hanihú$ (zancudo) {Epps}, $anigú$ (zancudo) {Epps}
